week,year,Pos,Team,H.A,Oppt,FPTS,Salary,player,away_score,home_score,total,spread_line,total_line,result
1,2021,QB,ARI,a,TEN,34.56,8400,Kyler Murray,38,13,51,2.5,54,win
1,2021,QB,KC,h,CLE,33.28,8800,Patrick Mahomes,29,33,62,5.5,54.5,win
1,2021,QB,DET,h,SF,29.92,6500,Jared Goff,41,33,74,-9.5,46,loss
1,2021,QB,NO,h,GB,29.62,6700,Jameis Winston,3,38,41,-4,49,win
1,2021,QB,TB,h,DAL,29.16,7800,Tom Brady,29,31,60,10,52.5,win
1,2021,QB,PHI,a,ATL,28.76,7600,Jalen Hurts,32,6,38,3.5,49,win
1,2021,QB,DAL,a,TB,28.42,7600,Dak Prescott,29,31,60,10,52.5,loss
1,2021,QB,SEA,a,IND,27.06,7800,Russell Wilson,28,16,44,-3,49,win
1,2021,QB,LV,h,BAL,25,6700,Derek Carr,27,33,60,-3,50.5,win
1,2021,QB,LA,h,CHI,24.34,7400,Matthew Stafford,14,34,48,9.5,46,win
1,2021,QB,HOU,h,JAX,23.64,6800,Tyrod Taylor,21,37,58,-3.5,45.5,win
1,2021,QB,JAX,a,HOU,22.08,6800,Trevor Lawrence,21,37,58,-3.5,45.5,loss
1,2021,QB,MIN,a,CIN,22.04,7200,Kirk Cousins,24,27,51,-3,47,loss
1,2021,QB,NYG,h,DEN,21.38,6700,Daniel Jones,27,13,40,-3,41.5,loss
1,2021,QB,DEN,a,NYG,20.46,6600,Teddy Bridgewater,27,13,40,-3,41.5,win
1,2021,QB,NYJ,a,CAR,19.32,6500,Zach Wilson,14,19,33,3.5,44.5,loss
1,2021,QB,CAR,h,NYJ,19.06,6500,Sam Darnold,14,19,33,3.5,44.5,win
1,2021,QB,CIN,h,MIN,18.64,7200,Joe Burrow,24,27,51,-3,47,win
1,2021,QB,IND,h,SEA,18.34,6500,Carson Wentz,28,16,44,-3,49,loss
1,2021,QB,BAL,a,LV,18,8600,Lamar Jackson,27,33,60,-3,50.5,loss
1,2021,QB,BUF,h,PIT,17.2,8100,Josh Allen,23,16,39,6.5,48,loss
1,2021,QB,MIA,a,NE,17.18,6600,Tua Tagovailoa,17,16,33,3.5,43.5,win
1,2021,QB,NE,h,MIA,15.24,6200,Mac Jones,17,16,33,3.5,43.5,loss
1,2021,QB,TEN,h,ARI,15.18,7700,Ryan Tannehill,38,13,51,2.5,54,loss
1,2021,QB,SF,a,DET,14.76,6900,Jimmy Garoppolo,41,33,74,-9.5,46,win
1,2021,QB,LAC,a,WAS,14.38,7600,Justin Herbert,20,16,36,2.5,45.5,win
1,2021,QB,CLE,a,KC,13.64,7100,Baker Mayfield,29,33,62,5.5,54.5,loss
1,2021,QB,PIT,a,BUF,12.02,7100,Ben Roethlisberger,23,16,39,6.5,48,win
1,2021,QB,WAS,h,LAC,10.58,6500,Taylor Heinicke,20,16,36,2.5,45.5,loss
1,2021,QB,ATL,h,PHI,7.36,7300,Matt Ryan,32,6,38,3.5,49,loss
1,2021,QB,CHI,a,LA,6.7,6500,Justin Fields,14,34,48,9.5,46,loss
1,2021,QB,CHI,a,LA,6.54,6500,Andy Dalton,14,34,48,9.5,46,loss
1,2021,QB,SF,a,DET,4.4,6300,Trey Lance,41,33,74,-9.5,46,win
1,2021,QB,GB,a,NO,3.32,8000,Aaron Rodgers,3,38,41,-4,49,loss
1,2021,QB,LV,h,BAL,3.1,6200,Marcus Mariota,27,33,60,-3,50.5,win
1,2021,QB,GB,a,NO,0.72,6200,Jordan Love,3,38,41,-4,49,loss
1,2021,QB,WAS,h,LAC,0.72,6600,Ryan Fitzpatrick,20,16,36,2.5,45.5,loss
1,2021,QB,MIA,a,NE,0.4,6300,Jacoby Brissett,17,16,33,3.5,43.5,win
1,2021,QB,NO,h,GB,0.22,6700,Taysom Hill,3,38,41,-4,49,win
1,2021,QB,ATL,h,PHI,0,6000,Josh Rosen,32,6,38,3.5,49,loss
