week,year,Pos,Team,H.A,Oppt,DKP,DKSalary,player
17,2014,QB,NYJ,a,MIA,30.12,5000,Geno Smith
17,2014,QB,WAS,h,DAL,25.34,5700,Robert Griffin
17,2014,QB,GB,h,DET,24.44,8600,Aaron Rodgers
17,2014,QB,BAL,h,CLE,23.58,6200,Joe Flacco
17,2014,QB,NYG,h,PHI,23.16,7100,Eli Manning
17,2014,QB,DET,a,GB,22.58,6800,Matthew Stafford
17,2014,QB,SF,h,ARI,22.46,6300,Colin Kaepernick
17,2014,QB,PIT,h,CIN,21.98,7300,Ben Roethlisberger
17,2014,QB,PHI,a,NYG,20.88,6700,Mark Sanchez
17,2014,QB,ARI,a,SF,20.64,5000,Ryan Lindley
17,2014,QB,CAR,a,ATL,19.66,7500,Cam Newton
17,2014,QB,DAL,a,WAS,18.96,8000,Tony Romo
17,2014,QB,HOU,h,JAX,17.6,5000,Case Keenum
17,2014,QB,CIN,a,PIT,16.56,6000,Andy Dalton
17,2014,QB,IND,a,TEN,14.9,8700,Andrew Luck
17,2014,QB,MIA,h,NYJ,13.36,7200,Ryan Tannehill
17,2014,QB,MIN,h,CHI,13.16,5900,Teddy Bridgewater
17,2014,QB,NO,a,TB,13.14,8400,Drew Brees
17,2014,QB,CHI,a,MIN,10.78,7400,Jay Cutler
17,2014,QB,JAX,a,HOU,10.78,5000,Blake Bortles
17,2014,QB,BUF,a,NE,9.74,5900,Kyle Orton
17,2014,QB,DEN,h,LV,9.42,8600,Peyton Manning
17,2014,QB,IND,a,TEN,9.4,5000,Matt Hasselbeck
17,2014,QB,SEA,h,STL,9.26,7500,Russell Wilson
17,2014,QB,ATL,h,CAR,9,7700,Matt Ryan
17,2014,QB,LV,a,DEN,8.92,5300,Derek Carr
17,2014,QB,SDG,a,KC,8.84,7300,Philip Rivers
17,2014,QB,TEN,h,IND,8.78,5300,Charlie Whitehurst
17,2014,QB,TB,h,NO,8.2,5200,Josh McCown
17,2014,QB,KC,h,SDG,7.88,5000,Chase Daniel
17,2014,QB,STL,a,SEA,7.72,5200,Shaun Hill
17,2014,QB,CLE,a,BAL,5.98,0,Connor Shaw
17,2014,QB,DEN,h,LV,5.46,5000,Brock Osweiler
17,2014,QB,NE,h,BUF,5.2,5000,Jimmy Garoppolo
17,2014,QB,NE,h,BUF,4.1,7800,Tom Brady
17,2014,QB,GB,h,DET,0.24,5000,Matt Flynn
17,2014,QB,TEN,h,IND,0.18,17,Jordan Palmer
17,2014,QB,LV,a,DEN,0,5000,Matt Schaub
17,2014,QB,NO,a,TB,0,5000,Luke McCown
17,2014,QB,CAR,a,ATL,0,5000,Joe Webb
17,2014,QB,NYJ,a,MIA,0,5000,Michael Vick
17,2014,QB,DAL,a,WAS,0,5000,Brandon Weeden
17,2014,RB,DEN,h,LV,30.7,7000,CJ Anderson
17,2014,RB,MIA,h,NYJ,26.8,5000,Lamar Miller
