yearSeason,slugSeason,slugLeague,typeSeason,dateGame,idGame,numberGameTeamSeason,nameTeam,idTeam,isB2B,isB2BFirst,isB2BSecond,locationGame,slugMatchup,slugTeam,countDaysRestTeam,countDaysNextGameTeam,slugOpponent,slugTeamWinner,slugTeamLoser,outcomeGame,namePlayer,numberGamePlayerSeason,countDaysRestPlayer,countDaysNextGamePlayer,idPlayer,isWin,fgm,fga,pctFG,fg3m,fg3a,pctFG3,pctFT,hasVideo,fg2m,fg2a,pctFG2,minutes,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,pts,plusminus,urlTeamSeasonLogo,urlPlayerStats,urlPlayerThumbnail,urlPlayerHeadshot,urlPlayerActionPhoto,urlPlayerPhoto
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,Los Angeles Lakers,1610612747,FALSE,FALSE,FALSE,H,LAL vs. LAC,LAL,120,2,LAC,LAC,LAL,L,Talen Horton-Tucker,1,120,120,1629659,FALSE,2,2,1,0,0,0,1,TRUE,2,2,1,11,2,2,0,1,1,0,1,0,1,3,6,7,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAL_logo.svg,https://stats.nba.com/player/1629659,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629659.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629659.png,https://stats.nba.com/media/players/700/1629659.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,Los Angeles Lakers,1610612747,FALSE,FALSE,FALSE,H,LAL vs. LAC,LAL,120,2,LAC,LAC,LAL,L,Kyle Kuzma,1,120,120,1628398,FALSE,6,11,0.545,1,3,0.3333333333333333,1,TRUE,5,8,0.625,27,2,2,0,1,1,0,0,0,2,2,15,-3,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAL_logo.svg,https://stats.nba.com/player/1628398,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628398.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628398.png,https://stats.nba.com/media/players/700/1628398.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628398.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,Los Angeles Lakers,1610612747,FALSE,FALSE,FALSE,H,LAL vs. LAC,LAL,120,2,LAC,LAC,LAL,L,Alex Caruso,1,120,120,1627936,FALSE,1,5,0.2,1,4,0.25,NA,TRUE,0,1,0,17,0,0,0,2,2,1,0,0,3,0,3,8,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAL_logo.svg,https://stats.nba.com/player/1627936,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627936.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627936.png,https://stats.nba.com/media/players/700/1627936.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627936.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,Los Angeles Lakers,1610612747,FALSE,FALSE,FALSE,H,LAL vs. LAC,LAL,120,2,LAC,LAC,LAL,L,Quinn Cook,1,120,120,1626188,FALSE,0,0,NA,0,0,0,NA,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAL_logo.svg,https://stats.nba.com/player/1626188,https://stats.nba.com/media/players/230x185/1626188.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626188.png,https://stats.nba.com/media/players/700/1626188.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626188.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,Los Angeles Lakers,1610612747,FALSE,FALSE,FALSE,H,LAL vs. LAC,LAL,120,2,LAC,LAC,LAL,L,Montrezl Harrell,1,120,120,1626149,FALSE,6,7,0.857,0,0,0,0.714,TRUE,6,7,0.8571428571428571,32,5,7,4,6,10,3,0,1,1,1,17,1,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAL_logo.svg,https://stats.nba.com/player/1626149,https://stats.nba.com/media/players/230x185/1626149.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626149.png,https://stats.nba.com/media/players/700/1626149.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626149.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,Los Angeles Lakers,1610612747,FALSE,FALSE,FALSE,H,LAL vs. LAC,LAL,120,2,LAC,LAC,LAL,L,Kentavious Caldwell-Pope,1,120,120,203484,FALSE,2,4,0.5,1,3,0.3333333333333333,1,TRUE,1,1,1,23,4,4,0,2,2,1,2,1,2,2,9,-9,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAL_logo.svg,https://stats.nba.com/player/203484,https://stats.nba.com/media/players/230x185/203484.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203484.png,https://stats.nba.com/media/players/700/203484.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203484.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,Los Angeles Lakers,1610612747,FALSE,FALSE,FALSE,H,LAL vs. LAC,LAL,120,2,LAC,LAC,LAL,L,Dennis Schroder,1,120,120,203471,FALSE,5,15,0.333,2,5,0.4,0.5,TRUE,3,10,0.3,28,2,4,1,11,12,8,0,0,1,4,14,-10,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAL_logo.svg,https://stats.nba.com/player/203471,https://stats.nba.com/media/players/230x185/203471.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203471.png,https://stats.nba.com/media/players/700/203471.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203471.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,Los Angeles Lakers,1610612747,FALSE,FALSE,FALSE,H,LAL vs. LAC,LAL,120,2,LAC,LAC,LAL,L,Anthony Davis,1,120,120,203076,FALSE,8,15,0.533,0,2,0,1,TRUE,8,13,0.6153846153846154,31,2,2,0,7,7,2,0,0,4,1,18,-16,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAL_logo.svg,https://stats.nba.com/player/203076,https://stats.nba.com/media/players/230x185/203076.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203076.png,https://stats.nba.com/media/players/700/203076.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203076.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,Los Angeles Lakers,1610612747,FALSE,FALSE,FALSE,H,LAL vs. LAC,LAL,120,2,LAC,LAC,LAL,L,Markieff Morris,1,120,120,202693,FALSE,1,3,0.333,1,2,0.5,0.667,TRUE,0,1,0,19,2,3,1,3,4,1,0,0,0,0,5,10,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAL_logo.svg,https://stats.nba.com/player/202693,https://stats.nba.com/media/players/230x185/202693.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202693.png,https://stats.nba.com/media/players/700/202693.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202693.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,Los Angeles Lakers,1610612747,FALSE,FALSE,FALSE,H,LAL vs. LAC,LAL,120,2,LAC,LAC,LAL,L,Wesley Matthews,1,120,120,202083,FALSE,0,2,0,0,2,0,NA,TRUE,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,-18,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAL_logo.svg,https://stats.nba.com/player/202083,https://stats.nba.com/media/players/230x185/202083.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202083.png,https://stats.nba.com/media/players/700/202083.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202083.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,Los Angeles Lakers,1610612747,FALSE,FALSE,FALSE,H,LAL vs. LAC,LAL,120,2,LAC,LAC,LAL,L,Marc Gasol,1,120,120,201188,FALSE,0,0,NA,0,0,0,NA,TRUE,0,0,0,12,0,0,0,1,1,1,0,0,1,5,0,-8,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAL_logo.svg,https://stats.nba.com/player/201188,https://stats.nba.com/media/players/230x185/201188.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201188.png,https://stats.nba.com/media/players/700/201188.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201188.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,Los Angeles Lakers,1610612747,FALSE,FALSE,FALSE,H,LAL vs. LAC,LAL,120,2,LAC,LAC,LAL,L,LeBron James,1,120,120,2544,FALSE,7,17,0.412,3,8,0.375,0.714,TRUE,4,9,0.4444444444444444,28,5,7,2,3,5,5,0,0,4,2,22,-2,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAL_logo.svg,https://stats.nba.com/player/2544,https://stats.nba.com/media/players/230x185/2544.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2544.png,https://stats.nba.com/media/players/700/2544.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2544.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,LA Clippers,1610612746,FALSE,FALSE,FALSE,A,LAC @ LAL,LAC,120,2,LAL,LAC,LAL,W,Mfiondu Kabengele,1,120,120,1629662,TRUE,0,0,NA,0,0,0,NA,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAC_logo.svg,https://stats.nba.com/player/1629662,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629662.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629662.png,https://stats.nba.com/media/players/700/1629662.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,LA Clippers,1610612746,FALSE,FALSE,FALSE,A,LAC @ LAL,LAC,120,2,LAL,LAC,LAL,W,Terance Mann,1,120,120,1629611,TRUE,0,1,0,0,0,0,NA,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAC_logo.svg,https://stats.nba.com/player/1629611,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629611.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629611.png,https://stats.nba.com/media/players/700/1629611.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,LA Clippers,1610612746,FALSE,FALSE,FALSE,A,LAC @ LAL,LAC,120,2,LAL,LAC,LAL,W,Amir Coffey,1,120,120,1629599,TRUE,0,0,NA,0,0,0,NA,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAC_logo.svg,https://stats.nba.com/player/1629599,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629599.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629599.png,https://stats.nba.com/media/players/700/1629599.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,LA Clippers,1610612746,FALSE,FALSE,FALSE,A,LAC @ LAL,LAC,120,2,LAL,LAC,LAL,W,Luke Kennard,1,120,120,1628379,TRUE,2,6,0.333,0,3,0,NA,TRUE,2,3,0.6666666666666666,21,0,0,0,2,2,2,2,1,1,3,4,1,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAC_logo.svg,https://stats.nba.com/player/1628379,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628379.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628379.png,https://stats.nba.com/media/players/700/1628379.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628379.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,LA Clippers,1610612746,FALSE,FALSE,FALSE,A,LAC @ LAL,LAC,120,2,LAL,LAC,LAL,W,Ivica Zubac,1,120,120,1627826,TRUE,4,5,0.8,0,0,0,0.75,TRUE,4,5,0.8,27,3,4,3,3,6,1,1,1,1,4,11,13,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAC_logo.svg,https://stats.nba.com/player/1627826,https://stats.nba.com/media/players/230x185/1627826.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627826.png,https://stats.nba.com/media/players/700/1627826.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627826.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,LA Clippers,1610612746,FALSE,FALSE,FALSE,A,LAC @ LAL,LAC,120,2,LAL,LAC,LAL,W,Reggie Jackson,1,120,120,202704,TRUE,0,3,0,0,2,0,NA,TRUE,0,1,0,3,0,0,0,1,1,0,0,0,0,1,0,-1,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAC_logo.svg,https://stats.nba.com/player/202704,https://stats.nba.com/media/players/230x185/202704.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202704.png,https://stats.nba.com/media/players/700/202704.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202704.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,LA Clippers,1610612746,FALSE,FALSE,FALSE,A,LAC @ LAL,LAC,120,2,LAL,LAC,LAL,W,Kawhi Leonard,1,120,120,202695,TRUE,10,26,0.385,1,8,0.125,1,TRUE,9,18,0.5,34,5,5,0,2,2,3,2,0,3,5,26,1,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAC_logo.svg,https://stats.nba.com/player/202695,https://stats.nba.com/media/players/230x185/202695.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202695.png,https://stats.nba.com/media/players/700/202695.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202695.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,LA Clippers,1610612746,FALSE,FALSE,FALSE,A,LAC @ LAL,LAC,120,2,LAL,LAC,LAL,W,Patrick Patterson,1,120,120,202335,TRUE,1,5,0.2,1,4,0.25,NA,TRUE,0,1,0,20,0,0,1,2,3,1,2,0,1,2,3,13,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAC_logo.svg,https://stats.nba.com/player/202335,https://stats.nba.com/media/players/230x185/202335.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202335.png,https://stats.nba.com/media/players/700/202335.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202335.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,LA Clippers,1610612746,FALSE,FALSE,FALSE,A,LAC @ LAL,LAC,120,2,LAL,LAC,LAL,W,Paul George,1,120,120,202331,TRUE,13,18,0.722,5,8,0.625,1,TRUE,8,10,0.8,36,2,2,0,6,6,3,1,0,5,3,33,15,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAC_logo.svg,https://stats.nba.com/player/202331,https://stats.nba.com/media/players/230x185/202331.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202331.png,https://stats.nba.com/media/players/700/202331.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202331.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,LA Clippers,1610612746,FALSE,FALSE,FALSE,A,LAC @ LAL,LAC,120,2,LAL,LAC,LAL,W,Patrick Beverley,1,120,120,201976,TRUE,4,9,0.444,2,5,0.4,NA,TRUE,2,4,0.5,22,0,0,4,2,6,3,0,0,2,4,10,10,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAC_logo.svg,https://stats.nba.com/player/201976,https://stats.nba.com/media/players/230x185/201976.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201976.png,https://stats.nba.com/media/players/700/201976.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201976.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,LA Clippers,1610612746,FALSE,FALSE,FALSE,A,LAC @ LAL,LAC,120,2,LAL,LAC,LAL,W,Nicolas Batum,1,120,120,201587,TRUE,1,4,0.25,1,3,0.3333333333333333,NA,TRUE,0,1,0,28,0,0,1,5,6,6,2,0,1,2,3,-2,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAC_logo.svg,https://stats.nba.com/player/201587,https://stats.nba.com/media/players/230x185/201587.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201587.png,https://stats.nba.com/media/players/700/201587.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201587.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,LA Clippers,1610612746,FALSE,FALSE,FALSE,A,LAC @ LAL,LAC,120,2,LAL,LAC,LAL,W,Serge Ibaka,1,120,120,201586,TRUE,5,7,0.714,2,3,0.6666666666666666,0.6,TRUE,3,4,0.75,21,3,5,2,4,6,0,0,1,1,3,15,-8,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAC_logo.svg,https://stats.nba.com/player/201586,https://stats.nba.com/media/players/230x185/201586.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201586.png,https://stats.nba.com/media/players/700/201586.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201586.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000002,1,LA Clippers,1610612746,FALSE,FALSE,FALSE,A,LAC @ LAL,LAC,120,2,LAL,LAC,LAL,W,Lou Williams,1,120,120,101150,TRUE,4,9,0.444,2,4,0.5,0.333,TRUE,2,5,0.4,26,1,3,0,2,2,3,0,0,1,2,11,6,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAC_logo.svg,https://stats.nba.com/player/101150,https://stats.nba.com/media/players/230x185/101150.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101150.png,https://stats.nba.com/media/players/700/101150.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101150.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000001,1,Brooklyn Nets,1610612751,FALSE,FALSE,FALSE,H,BKN vs. GSW,BKN,120,2,GSW,BKN,GSW,W,Reggie Perry,1,120,120,1629617,TRUE,1,3,0.333,0,1,0,NA,TRUE,1,2,0.5,8,0,0,1,1,2,1,0,0,0,0,2,-8,https://stats.nba.com/media/img/teams/logos/season/2020-21/BKN_logo.svg,https://stats.nba.com/player/1629617,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629617.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629617.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000001,1,Brooklyn Nets,1610612751,FALSE,FALSE,FALSE,H,BKN vs. GSW,BKN,120,2,GSW,BKN,GSW,W,Rodions Kurucs,1,120,120,1629066,TRUE,1,1,1,1,1,1,NA,TRUE,0,0,0,7,0,0,0,1,1,0,0,0,0,0,3,-9,https://stats.nba.com/media/img/teams/logos/season/2020-21/BKN_logo.svg,https://stats.nba.com/player/1629066,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629066.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629066.png,https://stats.nba.com/media/players/700/1629066.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629066.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000001,1,Brooklyn Nets,1610612751,FALSE,FALSE,FALSE,H,BKN vs. GSW,BKN,120,2,GSW,BKN,GSW,W,Landry Shamet,1,120,120,1629013,TRUE,1,4,0.25,1,4,0.25,0.75,TRUE,0,0,0,20,3,4,0,1,1,0,1,0,2,3,6,7,https://stats.nba.com/media/img/teams/logos/season/2020-21/BKN_logo.svg,https://stats.nba.com/player/1629013,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629013.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629013.png,https://stats.nba.com/media/players/700/1629013.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629013.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000001,1,Brooklyn Nets,1610612751,FALSE,FALSE,FALSE,H,BKN vs. GSW,BKN,120,2,GSW,BKN,GSW,W,Bruce Brown,1,120,120,1628971,TRUE,1,3,0.333,0,1,0,NA,TRUE,1,2,0.5,8,0,0,0,1,1,1,0,0,2,1,2,-7,https://stats.nba.com/media/img/teams/logos/season/2020-21/BKN_logo.svg,https://stats.nba.com/player/1628971,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628971.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628971.png,https://stats.nba.com/media/players/700/1628971.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628971.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000001,1,Brooklyn Nets,1610612751,FALSE,FALSE,FALSE,H,BKN vs. GSW,BKN,120,2,GSW,BKN,GSW,W,Jarrett Allen,1,120,120,1628386,TRUE,2,3,0.667,0,0,0,0.8,TRUE,2,3,0.6666666666666666,20,4,5,3,4,7,2,1,2,2,0,8,6,https://stats.nba.com/media/img/teams/logos/season/2020-21/BKN_logo.svg,https://stats.nba.com/player/1628386,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628386.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628386.png,https://stats.nba.com/media/players/700/1628386.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628386.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000001,1,Brooklyn Nets,1610612751,FALSE,FALSE,FALSE,H,BKN vs. GSW,BKN,120,2,GSW,BKN,GSW,W,Timothe Luwawu-Cabarrot,1,120,120,1627789,TRUE,2,6,0.333,1,3,0.3333333333333333,NA,TRUE,1,3,0.3333333333333333,7,0,0,1,1,2,0,0,0,1,2,5,-9,https://stats.nba.com/media/img/teams/logos/season/2020-21/BKN_logo.svg,https://stats.nba.com/player/1627789,https://stats.nba.com/media/players/230x185/1627789.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627789.png,https://stats.nba.com/media/players/700/1627789.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627789.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000001,1,Brooklyn Nets,1610612751,FALSE,FALSE,FALSE,H,BKN vs. GSW,BKN,120,2,GSW,BKN,GSW,W,Taurean Prince,1,120,120,1627752,TRUE,0,1,0,0,1,0,0.5,TRUE,0,0,0,16,1,2,0,1,1,0,1,1,0,1,1,-4,https://stats.nba.com/media/img/teams/logos/season/2020-21/BKN_logo.svg,https://stats.nba.com/player/1627752,https://stats.nba.com/media/players/230x185/1627752.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627752.png,https://stats.nba.com/media/players/700/1627752.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627752.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000001,1,Brooklyn Nets,1610612751,FALSE,FALSE,FALSE,H,BKN vs. GSW,BKN,120,2,GSW,BKN,GSW,W,Caris LeVert,1,120,120,1627747,TRUE,6,17,0.353,3,5,0.6,0.833,TRUE,3,12,0.25,25,5,6,1,8,9,5,2,1,2,1,20,8,https://stats.nba.com/media/img/teams/logos/season/2020-21/BKN_logo.svg,https://stats.nba.com/player/1627747,https://stats.nba.com/media/players/230x185/1627747.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627747.png,https://stats.nba.com/media/players/700/1627747.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627747.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000001,1,Brooklyn Nets,1610612751,FALSE,FALSE,FALSE,H,BKN vs. GSW,BKN,120,2,GSW,BKN,GSW,W,Tyler Johnson,1,120,120,204020,TRUE,0,1,0,0,0,0,NA,TRUE,0,1,0,6,0,0,1,0,1,0,1,0,0,0,0,-12,https://stats.nba.com/media/img/teams/logos/season/2020-21/BKN_logo.svg,https://stats.nba.com/player/204020,https://stats.nba.com/media/players/230x185/204020.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204020.png,https://stats.nba.com/media/players/700/204020.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204020.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000001,1,Brooklyn Nets,1610612751,FALSE,FALSE,FALSE,H,BKN vs. GSW,BKN,120,2,GSW,BKN,GSW,W,Joe Harris,1,120,120,203925,TRUE,4,8,0.5,2,5,0.4,NA,TRUE,2,3,0.6666666666666666,21,0,0,2,5,7,2,0,1,2,2,10,21,https://stats.nba.com/media/img/teams/logos/season/2020-21/BKN_logo.svg,https://stats.nba.com/player/203925,https://stats.nba.com/media/players/230x185/203925.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203925.png,https://stats.nba.com/media/players/700/203925.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203925.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000001,1,Brooklyn Nets,1610612751,FALSE,FALSE,FALSE,H,BKN vs. GSW,BKN,120,2,GSW,BKN,GSW,W,Spencer Dinwiddie,1,120,120,203915,TRUE,2,6,0.333,1,3,0.3333333333333333,1,TRUE,1,3,0.3333333333333333,20,4,4,0,5,5,4,0,0,3,1,9,24,https://stats.nba.com/media/img/teams/logos/season/2020-21/BKN_logo.svg,https://stats.nba.com/player/203915,https://stats.nba.com/media/players/230x185/203915.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203915.png,https://stats.nba.com/media/players/700/203915.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203915.png
2021,2020-21,NBA,Regular Season,2020-12-22,22000001,1,Brooklyn Nets,1610612751,FALSE,FALSE,FALSE,H,BKN vs. GSW,BKN,120,2,GSW,BKN,GSW,W,Kyrie Irving,1,120,120,202681,TRUE,10,16,0.625,4,7,0.5714285714285714,1,TRUE,6,9,0.6666666666666666,25,2,2,1,3,4,4,0,0,1,3,26,32,https://stats.nba.com/media/img/teams/logos/season/2020-21/BKN_logo.svg,https://stats.nba.com/player/202681,https://stats.nba.com/media/players/230x185/202681.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202681.png,https://stats.nba.com/media/players/700/202681.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202681.png
